dataset_id,instrument,panel,series_label,time_days_since_fermi_gbm,time_s_since_trigger,value,value_err,value_unit,is_upper_limit,source_arxiv,source_table,source_file,notes
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,10.30412,890275.97,20.92,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,10.30788,890600.83,22.04,0.10,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,11.27403,974076.19,22.09,0.11,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,11.28344,974889.22,20.50,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,11.27821,974437.34,21.12,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,11.28871,975344.54,21.17,0.06,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,11.29292,975708.29,22.09,0.10,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,14.28998,1234654.3,22.45,0.17,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,14.29496,1235084.5,21.47,0.07,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,14.30262,1235746.4,20.83,0.06,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,14.31111,1236479.9,21.35,0.09,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,14.31535,1236846.2,22.35,0.15,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,17.31003,1495586.6,21.08,0.15,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,18.29124,1580363.1,21.91,0.13,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,18.30665,1581694.6,22.99,0.24,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,19.27566,1665417,21.19,0.73,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,20.27930,1752131.5,21.55,0.14,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,21.28883,1839354.9,21.31,0.12,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,36.28571,3135085.3,22.23,0.11,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,38.27709,3307140.6,24.06,0.32,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVB,0.044005208,3802.1,17.09,0.13,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVB,0.046016782,3975.8,17.21,0.14,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVB,0.051381366,4439.4,17.50,0.13,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVB,0.51376794,44389.6,20.21,0.14,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVB,0.69796296,60304.0,20.72,0.26,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVU,0.042373264,3661.1,17.67,0.08,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVU,0.045729167,3951.0,17.78,0.25,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVU,0.051150463,4419.4,17.77,0.18,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
